multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold,base_variant
2.5,2.0,1.0,0.5482900025636016,0.6394732028534845,0.5754850862492038,0.39436619718309857,0.37467700258397935,0.7149595687331537,0.6368186874304783,1,class_weight_dissatisfied_3_neutral_2
1.5,2.0,1.0,0.5452414789158514,0.648801902323029,0.5547039249717521,0.3725992317541613,0.26098191214470284,0.7574123989218329,0.6457174638487208,1,class_weight_dissatisfied_3_neutral_2
1.2,2.0,1.0,0.5318489651206567,0.6489848179989025,0.5414028418806532,0.37058715931955366,0.20930232558139536,0.7675202156334232,0.6473859844271412,1,class_weight_dissatisfied_3_neutral_2
1.0,2.0,1.0,0.5208539170719613,0.6489848179989025,0.5320931580862293,0.36930674958843973,0.1731266149870801,0.7749326145552561,0.6482202447163515,1,class_weight_dissatisfied_3_neutral_2
1.5,1.2,1.0,0.5749105495715655,0.706786171574904,0.566951275182863,0.3314432046826413,0.3488372093023256,0.5363881401617251,0.8156284760845384,2,class_weight_dissatisfied_3_neutral_2
1.5,1.0,1.0,0.5748478654432816,0.7192244375342967,0.5664523064496024,0.3248582403511981,0.37209302325581395,0.46630727762803237,0.8609566184649611,2,class_weight_dissatisfied_3_neutral_2
1.2,1.0,1.0,0.5746065438182208,0.7237973294311323,0.5555307445382274,0.3151637095299067,0.3178294573643411,0.4811320754716981,0.8676307007786429,2,class_weight_dissatisfied_3_neutral_2
1.0,1.0,1.0,0.5733932003865904,0.7263581488933601,0.5494518283658966,0.3100420706054509,0.2868217054263566,0.49056603773584906,0.8709677419354839,2,class_weight_dissatisfied_3_neutral_2
1.2,1.2,1.0,0.5727167586532783,0.7106274007682458,0.5564275617757596,0.323943661971831,0.2971576227390181,0.5512129380053908,0.8209121245828699,2,class_weight_dissatisfied_3_neutral_2
2.0,1.2,1.0,0.5713456626205936,0.6987378818364733,0.5806775970309047,0.349917687945857,0.42377260981912146,0.5134770889487871,0.8047830923248054,2,class_weight_dissatisfied_3_neutral_2
2.0,1.0,1.0,0.5708190823606984,0.7097128223888787,0.5811062478676439,0.3440643863179074,0.45219638242894056,0.4440700808625337,0.8470522803114572,2,class_weight_dissatisfied_3_neutral_2
1.5,1.5,1.0,0.5701416099207868,0.6857508688494603,0.5670741326520918,0.34497896469727457,0.32299741602067183,0.6307277628032345,0.7474972191323693,2,class_weight_dissatisfied_3_neutral_2
