model,fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
Logistic regression,3,4,RH,RH,0.41865866713171207,0.3944713710400174,0.024187296091694677
Logistic regression,3,5,RH,RH,0.41865866713171207,0.40275265088697926,0.015906016244732812
Logistic regression,3,1,CLO,CLO,0.41865866713171207,0.4159943939273947,0.002664273204317391
Logistic regression,3,2,CLO,CLO,0.41865866713171207,0.4183750885017181,0.00028357862999395245
Logistic regression,3,3,CLO,CLO,0.41865866713171207,0.4116652377709448,0.006993429360767245
Logistic regression,3,4,CLO,CLO,0.41865866713171207,0.4155974573019792,0.003061209829732847
Logistic regression,3,5,CLO,CLO,0.41865866713171207,0.4210567942776428,-0.0023981271459307396
Logistic regression,3,1,CO2,CO2,0.41865866713171207,0.4104727533859564,0.008185913745755669
Logistic regression,3,2,CO2,CO2,0.41865866713171207,0.4081833202891512,0.010475346842560851
Logistic regression,3,3,CO2,CO2,0.41865866713171207,0.4143297452572193,0.004328921874492797
Logistic regression,3,4,CO2,CO2,0.41865866713171207,0.4126463720952456,0.006012295036466497
Logistic regression,3,5,CO2,CO2,0.41865866713171207,0.4172418668473175,0.0014168002843945593
Logistic regression,3,1,Lighting,Lighting,0.41865866713171207,0.42184648719460505,-0.0031878200628929765
Logistic regression,3,2,Lighting,Lighting,0.41865866713171207,0.42636316249761697,-0.007704495365904895
Logistic regression,3,3,Lighting,Lighting,0.41865866713171207,0.4139473252566777,0.004711341875034358
Logistic regression,3,4,Lighting,Lighting,0.41865866713171207,0.42312394883942156,-0.00446528170770949
Logistic regression,3,5,Lighting,Lighting,0.41865866713171207,0.4206678743816877,-0.0020092072499756086
Logistic regression,3,1,Sound,Sound,0.41865866713171207,0.41885391047287507,-0.00019524334116299835
Logistic regression,3,2,Sound,Sound,0.41865866713171207,0.4220613615763471,-0.003402694444635035
Logistic regression,3,3,Sound,Sound,0.41865866713171207,0.42140556069231544,-0.0027468935606033695
Logistic regression,3,4,Sound,Sound,0.41865866713171207,0.4230688549026504,-0.004410187770938323
Logistic regression,3,5,Sound,Sound,0.41865866713171207,0.4223970072908115,-0.003738340159099407
Logistic regression,3,1,Age,Age,0.41865866713171207,0.4034072030185407,0.015251464113171354
Logistic regression,3,2,Age,Age,0.41865866713171207,0.3968764764594248,0.02178219067228726
Logistic regression,3,3,Age,Age,0.41865866713171207,0.40223102664331795,0.016427640488394124
Logistic regression,3,4,Age,Age,0.41865866713171207,0.40850121687360147,0.0101574502581106
